Date,Price
2/9/2017 0:00,988.95
2/10/2017 0:00,993.08
2/11/2017 0:00,1010
2/12/2017 0:00,999.51
2/13/2017 0:00,996.86
2/14/2017 0:00,1009.25
2/15/2017 0:00,1009.12
2/16/2017 0:00,1034.08
2/17/2017 0:00,1053.12
2/18/2017 0:00,1058.41
2/19/2017 0:00,1052.82
2/20/2017 0:00,1083.24
2/21/2017 0:00,1123.66
2/22/2017 0:00,1122.19
2/23/2017 0:00,1178.38
2/24/2017 0:00,1180.92
2/25/2017 0:00,1151.58
2/26/2017 0:00,1179.97
2/27/2017 0:00,1194.28
2/28/2017 0:00,1190.89
3/1/2017 0:00,1230.02
3/2/2017 0:00,1260.92
3/3/2017 0:00,1290.79
3/4/2017 0:00,1267.68
3/5/2017 0:00,1277.68
3/6/2017 0:00,1280.87
3/7/2017 0:00,1232.43
3/8/2017 0:00,1150.48
3/9/2017 0:00,1191.81
3/10/2017 0:00,1117.02
3/11/2017 0:00,1181.64
3/12/2017 0:00,1229.5
3/13/2017 0:00,1243.24
3/14/2017 0:00,1246.31
3/15/2017 0:00,1259.6
3/16/2017 0:00,1172.91
3/17/2017 0:00,1070.13
3/18/2017 0:00,970.6
3/19/2017 0:00,1017.8
3/20/2017 0:00,1041.34
3/21/2017 0:00,1115.04
3/22/2017 0:00,1037.44
3/23/2017 0:00,1029.95
3/24/2017 0:00,935.95
3/25/2017 0:00,964.69
3/26/2017 0:00,965.23
3/27/2017 0:00,1040.49
3/28/2017 0:00,1044.25
3/29/2017 0:00,1040.39
3/30/2017 0:00,1037.53
3/31/2017 0:00,1079.75
4/1/2017 0:00,1089.51
4/2/2017 0:00,1098.78
4/3/2017 0:00,1147.63
4/4/2017 0:00,1143.75
4/5/2017 0:00,1135
4/6/2017 0:00,1190.6
4/7/2017 0:00,1193.02
4/8/2017 0:00,1184.82
4/9/2017 0:00,1210.05
4/10/2017 0:00,1213.34
4/11/2017 0:00,1224.77
4/12/2017 0:00,1216.5
4/13/2017 0:00,1178.53
4/14/2017 0:00,1183.44
4/15/2017 0:00,1180.7
4/16/2017 0:00,1184.79
4/17/2017 0:00,1203.73
4/18/2017 0:00,1217.6
4/19/2017 0:00,1226.94
4/20/2017 0:00,1255.4
4/21/2017 0:00,1257.13
4/22/2017 0:00,1244.37
4/23/2017 0:00,1248.22
4/24/2017 0:00,1248.32
4/25/2017 0:00,1263.54
4/26/2017 0:00,1284.84
4/27/2017 0:00,1329.19
4/28/2017 0:00,1320.05
4/29/2017 0:00,1327.04
4/30/2017 0:00,1347.96
5/1/2017 0:00,1402.08
5/2/2017 0:00,1443.68
5/3/2017 0:00,1492
5/4/2017 0:00,1515.63
5/5/2017 0:00,1512.21
5/6/2017 0:00,1548.29
5/7/2017 0:00,1555.47
5/8/2017 0:00,1639.32
5/9/2017 0:00,1706.93
5/10/2017 0:00,1756.8
5/11/2017 0:00,1807.37
5/12/2017 0:00,1676.99
5/13/2017 0:00,1759.96
5/14/2017 0:00,1772.42
5/15/2017 0:00,1697.38
5/16/2017 0:00,1718.2
5/17/2017 0:00,1802.16
5/18/2017 0:00,1887.33
5/19/2017 0:00,1968.1
5/20/2017 0:00,2051.73
5/21/2017 0:00,2055.62
5/22/2017 0:00,2139.03
5/23/2017 0:00,2291.48
5/24/2017 0:00,2476.3
5/25/2017 0:00,2357.5
5/26/2017 0:00,2247.48
5/27/2017 0:00,2106.31
5/28/2017 0:00,2207.58
5/29/2017 0:00,2289.87
5/30/2017 0:00,2197.23
5/31/2017 0:00,2330.23
6/1/2017 0:00,2452.18
6/2/2017 0:00,2517.41
6/3/2017 0:00,2555.65
6/4/2017 0:00,2552.81
6/5/2017 0:00,2736.59
6/6/2017 0:00,2914.08
6/7/2017 0:00,2694.22
6/8/2017 0:00,2825.03
6/9/2017 0:00,2826.7
6/10/2017 0:00,2942.34
6/11/2017 0:00,3018.54
6/12/2017 0:00,2682.59
6/13/2017 0:00,2738.93
6/14/2017 0:00,2494.48
6/15/2017 0:00,2456.92
6/16/2017 0:00,2528.1
6/17/2017 0:00,2664
6/18/2017 0:00,2576.17
6/19/2017 0:00,2641.66
6/20/2017 0:00,2778.83
6/21/2017 0:00,2712.16
6/22/2017 0:00,2740.79
6/23/2017 0:00,2738.22
6/24/2017 0:00,2619.12
6/25/2017 0:00,2594.45
6/26/2017 0:00,2485.36
6/27/2017 0:00,2593.17
6/28/2017 0:00,2584.56
6/29/2017 0:00,2561.56
6/30/2017 0:00,2499.98
7/1/2017 0:00,2460.2
7/2/2017 0:00,2529.78
7/3/2017 0:00,2581.07
7/4/2017 0:00,2625.07
7/5/2017 0:00,2629.27
7/6/2017 0:00,2619.11
7/7/2017 0:00,2521.24
7/8/2017 0:00,2579.93
7/9/2017 0:00,2525.67
7/10/2017 0:00,2371.96
7/11/2017 0:00,2332.19
7/12/2017 0:00,2423.16
7/13/2017 0:00,2364.52
7/14/2017 0:00,2232.65
7/15/2017 0:00,1993.26
7/16/2017 0:00,1938.94
7/17/2017 0:00,2244.26
7/18/2017 0:00,2327.9
7/19/2017 0:00,2294.4
7/20/2017 0:00,2877.39
7/21/2017 0:00,2694.29
7/22/2017 0:00,2838.81
7/23/2017 0:00,2762.63
7/24/2017 0:00,2779.04
7/25/2017 0:00,2591.22
7/26/2017 0:00,2550.18
7/27/2017 0:00,2697.47
7/28/2017 0:00,2805.18
7/29/2017 0:00,2720.08
